博主画像,费用单篇开始 (usd),博主,粉丝总量,已洽谈,是否合作,是否发布,合作平台,tips,Comment
"宝妈博主, 时尚博主, 生活博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/amerika_gunluklerim/,,YES,YES,Posted,ins,,
"宝妈博主, 时尚博主, 生活博主",150, https://www.instagram.com/maddynath2922/ ,506000,,YES,Posted,ins,,
"时尚博主, 生活博主, 美妆博主",150,https://www.instagram.com/virgotrendz,280000,YES,YES,Posted,ins,,
"时尚博主, 生活博主",0,https://www.instagram.com/moonpriyaa/,120000,YES,YES,Posted,ins,,
"宝妈博主, 时尚博主, 生活博主",0,https://www.instagram.com/bydebbyoliver/,244000,YES,YES,Posted,ins,,
"时尚博主, 生活博主, 美妆博主",0,https://www.instagram.com/huynguyenaus/https://www.instagram.com/volha_creative/,135000,YES,YES,Posted,ins,,
"宝妈博主, 时尚博主, 生活博主",0,https://www.instagram.com/claricecalazans/,123000,YES,YES,Posted,ins,,
"时尚博主, 生活博主, 美妆博主",300,https://www.instagram.com/nani.sfashion/,129000,YES,YES,Posted,ins,,
"时尚博主, 生活博主, 美妆博主",300,https://www.instagram.com/shvets_kristinaa/,109000,YES,YES,Posted,ins,,
"时尚博主, 生活博主, 美妆博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/prayla_arken/,181000,YES,YES,Posted,,,
"宝妈博主, 时尚博主, 生活博主",0,https://www.instagram.com/qbrainusa/,219000,YES,YES,Posted,ins,,
"时尚博主, 生活博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/journeywithrit/,169000,YES,YES,Posted,,,
"宝妈博主, 时尚博主, 生活博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/geet_fashion_toast/,223000,YES,YES,Posted,ins,,
"UGC, 宝妈博主, 时尚博主, 生活博主",300, https://www.instagram.com/bybinalshah/ ,171000,YES,YES,Posted,ins,,
"时尚博主, 生活博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/eminetinoco,239000,YES,YES,Posted,ins,,
"宝妈博主, 生活博主",0,https://www.instagram.com/dalancrew/,210000,Not yet,YES,Posted,ins,,
"宝妈博主, 时尚博主, 生活博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/life.as.eda,221000,YES,YES,Posted,ins,,
"宝妈博主, 生活博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/2bebek1damla 着急发稿4,352000,YES,YES,Posted,ins,,
"时尚博主, 生活博主",300," https://www.instagram.com/fundarizona/",451000,YES,YES,Posted,ins,,
"宝妈博主, 时尚博主, 生活博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/amerika_gunluklerim,392000,YES,YES,Posted,ins,,
"时尚博主, 生活博主, 设计师博主",300,"https://www.instagram.com/me.and.pearl  着急发稿2 ",287000,YES,YES,Posted,ins,,
"时尚博主, 生活博主",300," https://www.instagram.com/amothertwosons    着急发稿2",160000,YES,YES,Posted,ins,,
"宝妈博主, 时尚博主, 生活博主",300, https://www.instagram.com/juliasartini1 着急发稿1（希望明天发）,122000,YES,YES,Posted,ins,第二批衣服,
"时尚博主, 生活博主",300,https://www.instagram.com/bebekolog_  邮件回复,224000,YES,YES,Posted,ins,,
"其他企业品牌大使, 过往AI艺术家",300,https://www.instagram.com/music._.w/      长期合作，送pro. 以她的喜好自己出,123000,YES,YES,Posted,ins,过往历史成功转化,有潜力成为collaboator
国际影响力组织,200,"astrabocconi   

需要call to action 放link，重点检查",15000,YES,YES,Posted,"TIktok, ins",意大利学生组织，挺有意思,
海外主流媒体员工,0, https://x.com/mixmnagy?s=21 ,1200,YES,YES,Posted,x,Netflix员工提前提供内部信息,人脉关系
,400," https://www.instagram.com/dileks_journal",511000,YES,YES,Ready to Post,,,
"时尚博主, 生活博主",400," https://www.instagram.com/bekslifestyle/",89000,YES,YES,Ready to Post,ins,,
"宝妈博主, 时尚博主, 生活博主",400," https://www.instagram.com/maddynath2922/      ",427000,YES,YES,Ready to Post,ins,,
"宝妈博主, 时尚博主, 生活博主",400," https://www.instagram.com/raynewonders  ",160000,YES,YES,Ready to Post,ins,,
"宝妈博主, 时尚博主, 生活博主",400," https://www.instagram.com/wander_with_angela      ",186000,YES,YES,Ready to Post,"TIktok, ins",,
"宝妈博主, 时尚博主, 生活博主",700,"https://www.instagram.com/esragurayman/  ",186000,YES,YES,Ready to Post,ins,,
"时尚博主, 生活博主",400,https://www.instagram.com/theaydasdiary/,116000,YES,YES,Ready to Post,ins,,
"宝妈博主, 时尚博主, 生活博主",300,https://www.instagram.com/huynguyenaus/https://www.instagram.com/inspiredbycisil/  等初稿,245000,YES,YES,pending,ins,,
"宝妈博主, 时尚博主, 生活博主",400,https://www.instagram.com/huynguyenaus/https://www.instagram.com/__ss__mumshttps://www.instagram.com/huynguyenaus/,105000,YES,YES,pending,ins,,
"时尚博主, 生活博主",400,https://www.instagram.com/hulio_x_official,102000,YES,YES,pending,ins,,
"时尚博主, 生活博主, 设计师博主",400, https://www.instagram.com/interior.adela ,90400,YES,YES,pending,ins,,
"宝妈博主, 时尚博主, 生活博主",500," https://www.instagram.com/anvi__lifestyle      ",233000,YES,YES,pending,ins,,
"宝妈博主, 时尚博主, 生活博主",500,https://www.instagram.com/canseldrdu  已发合同,176000,YES,YES,pending,ins,,
Ai圈核心艺术家,300,https://www.linkedin.com/in/alysialeeasp/  已发合同  先走开发者赛道,3000,YES,YES,pending,"Linkin, Wechat, ins",Ted讲者,
"宝妈博主, 时尚博主, 生活博主",500," https://www.instagram.com/thedintheusa/      已发邮箱回复",213000,YES,YES,pending,"TIktok, ins",,
国际学生KOL,300,"https://www.instagram.com/jaykrossover/ ",341000,YES,YES,pending,ins,哈佛大学印尼学生,
"宝妈博主, 时尚博主, 设计师博主",400,https://www.instagram.com/huynguyenaus/https://www.instagram.com/coccolahome.meraj,108000,YES,Hope yes,pending,ins,,
"宝妈博主, 时尚博主, 生活博主",,https://www.instagram.com/huynguyenaus/https://www.instagram.com/texture.creationhttps://www.instagram.com/huynguyenaus/,265000,YES,Hope yes,pending,ins,,
"时尚博主, 生活博主",,https://www.instagram.com/babyyroen,268000,YES,Hope yes,pending,ins,,
"时尚博主, 生活博主",400,https://www.instagram.com/virgtify,382000,YES,Hope yes,pending,ins,,
过往AI艺术家,300,https://www.instagram.com/glitter_shooting/  重点拉回来,136000,YES,Hope yes,pending,"TIktok, ins",过往历史成功转化,
Ai圈核心艺术家,749,https://www.instagram.com/adam.godigital/,12000000,YES,NO,pending,,工具类ai博主,
Agency,,网易Agency  找找koc吧,,YES,NO,Draft,,周三对，主要成本有问题，画像都挺不错,
Agency,,Growmax,,Not yet,NO,Draft,,主要还是博主画像，我觉得不太合适,
Agency,,"Partnerly (AI出海营销机构)
http://oncely.com/ (AI应用GTM平台)",,Not yet,NO,Draft,,暂时意愿不高,
